revenue,class,id,budget,starpower,certification,year,month,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western,rating,ratingClass
132820716,7,tt1790885,40000000,33363354933,6,2012,12,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,7.4,7
11110975,3,tt1791528,20000000,31101601240,6,2014,12,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,6.7,6
47351251,5,tt1798709,23000000,36708122431,6,2013,12,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,8.0,8
251171807,9,tt1800241,40000000,47329404205,6,2013,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7.3,7
26049082,4,tt1800246,8000000,8394192820,6,2014,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.2,6
163442937,8,tt1809398,65000000,26364270750,11,2014,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7.2,7
243843127,9,tt1815862,130000000,22475151792,11,2013,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.9,4
8109160,2,tt1816518,12516654,19272096609,24,2012,12,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.9,7
35485608,4,tt1817273,15000000,23415795279,6,2013,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7.3,7
17654912,3,tt1821549,12000000,4967597017,6,2013,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.7,7
8555008,2,tt1837703,28000000,33050985835,6,2013,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6.2,6
714766572,9,tt1843866,170000000,152261015152,11,2014,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.8,7
425368238,9,tt1853728,100000000,106531105777,6,2012,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8.4,8
48126384,5,tt1855199,7000000,16410941271,6,2012,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,7.7,7
240159255,9,tt1855325,65000000,26931870305,6,2012,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5.4,5
73244881,6,tt1859650,17000000,17479820716,6,2012,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.3,6
4007792,2,tt1862079,750000,10278609840,6,2012,6,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,7.0,7
2401510,2,tt1869716,6500000,10033925086,11,2013,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6.8,6
705717432,9,tt1872181,200000000,98261054984,11,2014,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.7,6
24637469,4,tt1876451,14000000,5533516826,11,2012,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5.7,5
747862775,9,tt1877832,250000000,98758214049,11,2014,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8.0,8
46216641,5,tt1904996,35000000,19891015744,6,2013,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,6
161772375,8,tt1907668,31000000,25842871853,6,2012,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.3,7
68572378,6,tt1911644,13000000,8781566550,6,2013,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6.7,6
373552094,9,tt1911658,132000000,40372113776,24,2014,11,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.7,6
167221571,8,tt1915581,7000000,28096787562,6,2012,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.1,6
11947954,3,tt1920849,3000000,14036836238,6,2012,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.3,5
117831631,7,tt1921064,130000000,15519862242,11,2014,2,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,5.5,5
77712439,6,tt1922777,3000000,6776223355,6,2012,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,6.8,6
19255873,3,tt1924396,13500000,11743976753,6,2013,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,7.8,7
24261569,4,tt1924429,20000000,7535834929,6,2013,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,7.0,7
