revenue,class,id,budget,starpower,certification,year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western,rating,ratingClass,month1,month2
0.858726378513413,9,tt0360486,1.0041406413964884,0.6191953316738673,-0.6153846153846153,0.21739130434784215,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,6.9,0.7,0.8660254037844386,0.5000000000000001
-0.42882110365573256,3,tt0361089,0.2610922059823464,0.47003452234096404,2.220446049250313e-16,0.21739130434784215,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.6,0.6,1.0,6.123233995736766e-17
-0.21566098573615475,4,tt0361467,-0.33861256078647756,-1.2368625416007555,0.7692307692307694,0.13043478260868824,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0.5,0.8660254037844386,0.5000000000000001
-0.5694741765650361,3,tt0361696,-0.33861256078647756,-1.0524911025910892,0.7692307692307694,0.13043478260868824,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,5.9,0.6,-0.8660254037844384,-0.5000000000000004
1.02727484454249,9,tt0361748,0.7516914365604692,1.307436727891803,-0.6153846153846153,0.5652173913043441,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,8.3,0.8,-0.8660254037844384,-0.5000000000000004
-0.3645988888602309,4,tt0361841,0.2610922059823464,-0.19648583239334927,-0.23076923076923062,0.13043478260868824,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.3,0.5,-0.8660254037844384,-0.5000000000000004
-0.8791205024822241,2,tt0361862,-1.1161938657900208,-0.07033572767977647,-0.6153846153846153,0.13043478260868824,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7.7,0.8,0.8660254037844386,0.5000000000000001
0.8321991220240285,9,tt0362227,0.6425858852029489,0.7776932052003305,-0.23076923076923062,0.13043478260868824,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.3,0.7,1.2246467991473532e-16,-1.0
-0.12650765880196133,4,tt0362270,0.5135414077850017,0.750790737825723,-0.6153846153846153,0.13043478260868824,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.3,0.7,-2.4492935982947064e-16,1.0
-0.14905224432861167,4,tt0362478,0.15198665631002733,0.14218097856292636,-0.23076923076923062,0.5652173913043441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5.6,0.6,-1.0,-1.8369701987210297e-16
